"Year (BP 1950)","Year (CE)","Nitrate (μEq/L)","Non sea-salt sulphate (μEq/L)"
240.5,1709.5,0.342,0.555
241.5,1708.5,0.249,0.447
242.5,1707.5,0.314,0.582
243.5,1706.5,0.305,0.398
244.5,1705.5,0.506,0.464
245.5,1704.5,0.322,0.393
246.5,1703.5,0.269,0.394
247.5,1702.5,0.247,0.278
248.5,1701.5,0.221,0.369
249.5,1700.5,0.439,0.48
250.5,1699.5,0.431,0.442
251.5,1698.5,0.447,0.531
252.5,1697.5,0.331,0.546
253.5,1696.5,0.388,0.76
254.5,1695.5,0.433,1.232
255.5,1694.5,0.3,0.744
256.5,1693.5,0.387,0.578
257.5,1692.5,0.388,0.578
258.5,1691.5,0.246,0.247
259.5,1690.5,0.398,0.331
260.5,1689.5,0.334,0.455
261.5,1688.5,0.279,0.491
262.5,1687.5,0.323,0.41
263.5,1686.5,0.262,0.377
264.5,1685.5,0.338,0.484
265.5,1684.5,0.28,0.355
266.5,1683.5,0.334,0.407
267.5,1682.5,0.286,0.364
268.5,1681.5,0.43,0.463
269.5,1680.5,0.311,0.415
270.5,1679.5,0.325,0.265
271.5,1678.5,0.236,0.292
272.5,1677.5,0.237,0.449
273.5,1676.5,0.264,0.457
274.5,1675.5,0.262,0.616
275.5,1674.5,0.305,0.679
276.5,1673.5,0.299,0.599
277.5,1672.5,0.236,0.417
278.5,1671.5,0.312,0.422
279.5,1670.5,0.286,0.443
280.5,1669.5,0.215,0.28
281.5,1668.5,0.303,0.378
282.5,1667.5,0.267,0.264
283.5,1666.5,0.338,0.428
284.5,1665.5,0.525,0.745
285.5,1664.5,0.312,0.34
286.5,1663.5,0.564,0.451
287.5,1662.5,0.327,0.497
288.5,1661.5,0.276,0.436
289.5,1660.5,0.308,0.2
290.5,1659.5,0.364,0.346
291.5,1658.5,0.193,0.269
292.5,1657.5,0.279,0.583
293.5,1656.5,0.316,0.519
294.5,1655.5,0.337,0.662
295.5,1654.5,0.33,0.572
296.5,1653.5,0.376,0.414
297.5,1652.5,0.272,0.333
298.5,1651.5,0.313,0.326
