"Year (BP 1950)","Year (CE)","Nitrate (μEq/L)","Non sea-salt sulphate (μEq/L)"
1557.5,392.5,0.442,0.443
1558.5,391.5,0.607,0.578
1559.5,390.5,0.425,0.532
1560.5,389.5,0.509,0.529
1561.5,388.5,0.496,0.571
1562.5,387.5,0.419,0.837
1563.5,386.5,0.496,0.435
1564.5,385.5,0.382,0.459
1565.5,384.5,0.377,0.576
1566.5,383.5,0.377,0.496
1567.5,382.5,0.371,0.439
1568.5,381.5,0.264,0.439
1569.5,380.5,0.303,0.517
1570.5,379.5,0.35,0.469
1571.5,378.5,0.347,0.495
1572.5,377.5,0.422,0.522
1573.5,376.5,0.381,0.646
1574.5,375.5,0.404,0.394
1575.5,374.5,0.374,0.494
1576.5,373.5,0.495,0.522
1577.5,372.5,0.366,0.425
1578.5,371.5,0.657,0.694
1579.5,370.5,0.396,0.548
1580.5,369.5,0.284,0.585
1581.5,368.5,0.294,0.434
1582.5,367.5,0.316,0.501
1583.5,366.5,0.412,0.508
1584.5,365.5,0.575,0.425
1585.5,364.5,0.395,0.628
1586.5,363.5,0.567,0.382
1587.5,362.5,0.493,0.631
1588.5,361.5,0.448,0.485
1589.5,360.5,0.476,0.614
1590.5,359.5,0.608,0.541
1591.5,358.5,0.502,0.393
1592.5,357.5,0.51,0.577
1593.5,356.5,0.514,0.552
1594.5,355.5,0.37,0.376
1595.5,354.5,0.503,0.566
1596.5,353.5,0.418,0.644
1597.5,352.5,0.611,0.845
1598.5,351.5,0.398,0.565
1599.5,350.5,0.477,0.696
1600.5,349.5,0.402,0.619
1601.5,348.5,0.374,0.372
1602.5,347.5,0.457,0.315
1603.5,346.5,0.427,0.493
1604.5,345.5,0.482,0.483
1605.5,344.5,0.575,0.87
1606.5,343.5,0.622,1.095
1607.5,342.5,0.334,0.429
1608.5,341.5,0.472,0.472
1609.5,340.5,0.472,0.627
1610.5,339.5,0.361,0.341
1611.5,338.5,0.463,0.513
1612.5,337.5,0.506,0.608
1613.5,336.5,0.508,0.575
1614.5,335.5,0.496,0.656
1615.5,334.5,0.229,0.659
1616.5,333.5,0.335,0.456
1617.5,332.5,0.256,0.288
1618.5,331.5,0.274,0.722
1619.5,330.5,0.328,0.396
1620.5,329.5,0.344,0.363
1621.5,328.5,0.35,0.452
1622.5,327.5,0.448,0.534
1623.5,326.5,0.351,0.571
1624.5,325.5,0.489,0.539
1625.5,324.5,0.616,0.712
1626.5,323.5,0.56,0.54
1627.5,322.5,0.535,0.678
1628.5,321.5,0.499,0.544
1629.5,320.5,0.393,0.454
1630.5,319.5,0.552,0.466
1631.5,318.5,0.985,0.758
1632.5,317.5,0.707,0.471
1633.5,316.5,0.483,0.49
1634.5,315.5,0.412,0.539
1635.5,314.5,0.661,0.804
1636.5,313.5,0.413,0.45
1637.5,312.5,0.513,0.686
1638.5,311.5,0.351,0.538
1639.5,310.5,0.425,0.665
1640.5,309.5,0.604,0.461
1641.5,308.5,0.458,0.372
1642.5,307.5,0.413,0.539
1643.5,306.5,0.362,0.359
1644.5,305.5,0.415,0.345
1645.5,304.5,0.424,0.254
1646.5,303.5,0.485,0.464
1647.5,302.5,0.502,0.658
1648.5,301.5,0.471,0.542
1649.5,300.5,0.43,0.37
1650.5,299.5,0.396,0.411
1651.5,298.5,0.482,0.228
1652.5,297.5,0.45,0.457
1653.5,296.5,0.45,0.516
1654.5,295.5,0.674,1.365
1655.5,294.5,0.463,0.545
1656.5,293.5,0.422,0.721
1657.5,292.5,0.271,0.517
1658.5,291.5,0.352,0.54
1659.5,290.5,0.335,0.515
1660.5,289.5,0.298,0.521
1661.5,288.5,0.295,0.55
1662.5,287.5,0.257,0.39
1663.5,286.5,0.321,1.608
1664.5,285.5,0.309,0.684
1665.5,284.5,0.331,0.594
1666.5,283.5,0.311,0.772
1667.5,282.5,0.226,0.416
1668.5,281.5,0.309,0.467
1669.5,280.5,0.362,0.477
1670.5,279.5,0.432,0.439
1671.5,278.5,0.324,0.469
1672.5,277.5,0.271,0.429
1673.5,276.5,0.308,0.574
1674.5,275.5,0.319,0.409
1675.5,274.5,0.414,0.319
1676.5,273.5,0.331,0.587
1677.5,272.5,0.268,0.488
1678.5,271.5,0.245,0.293
1679.5,270.5,0.315,0.394
1680.5,269.5,0.401,0.93
1681.5,268.5,0.283,0.235
1682.5,267.5,0.2,0.371
1683.5,266.5,0.273,0.303
1684.5,265.5,0.272,0.173
1685.5,264.5,0.198,0.407
1686.5,263.5,0.324,0.409
1687.5,262.5,0.34,0.492
1688.5,261.5,0.459,0.464
1689.5,260.5,0.342,0.461
1690.5,259.5,0.258,0.644
1691.5,258.5,0.267,0.903
1692.5,257.5,0.271,0.389
1693.5,256.5,0.292,0.436
1694.5,255.5,0.267,0.372
1695.5,254.5,0.245,0.338
1696.5,253.5,0.245,0.404
1697.5,252.5,0.253,0.605
1698.5,251.5,0.276,0.347
1699.5,250.5,0.257,0.348
1700.5,249.5,0.33,0.321
1701.5,248.5,0.268,0.406
1702.5,247.5,0.349,0.356
1703.5,246.5,0.321,0.327
1704.5,245.5,0.365,0.426
1705.5,244.5,0.294,0.483
1706.5,243.5,0.286,0.24
1707.5,242.5,0.338,0.535
1708.5,241.5,0.317,0.332
1709.5,240.5,0.482,0.376
1710.5,239.5,0.366,0.302
1711.5,238.5,0.435,0.418
1712.5,237.5,0.302,0.165
1713.5,236.5,0.316,0.483
1714.5,235.5,0.366,0.187
1715.5,234.5,0.518,0.43
1716.5,233.5,0.549,0.349
1717.5,232.5,0.254,0.263
1718.5,231.5,0.229,0.603
1719.5,230.5,0.311,0.593
1720.5,229.5,0.292,0.833
1721.5,228.5,0.184,0.426
1722.5,227.5,0.37,0.504
1723.5,226.5,0.234,0.521
1724.5,225.5,0.234,0.318
1725.5,224.5,0.279,0.483
1726.5,223.5,0.322,0.47
1727.5,222.5,0.308,0.354
1728.5,221.5,0.271,0.46
1729.5,220.5,0.227,0.356
1730.5,219.5,0.446,0.433
1731.5,218.5,0.329,0.34
1732.5,217.5,0.277,0.403
1733.5,216.5,0.291,0.419
1734.5,215.5,0.397,0.485
1735.5,214.5,0.292,0.428
1736.5,213.5,0.224,0.419
1737.5,212.5,0.32,0.57
1738.5,211.5,0.265,0.629
1739.5,210.5,0.374,0.361
1740.5,209.5,0.403,0.503
1741.5,208.5,0.323,0.444
1742.5,207.5,0.416,0.55
1743.5,206.5,0.38,0.348
1744.5,205.5,0.285,0.409
1745.5,204.5,0.33,0.529
1746.5,203.5,0.295,0.217
1747.5,202.5,0.254,0.365
1748.5,201.5,0.242,0.238
1749.5,200.5,0.283,0.686
1750.5,199.5,0.242,0.554
1751.5,198.5,0.218,0.877
1752.5,197.5,0.281,0.306
1753.5,196.5,0.196,0.304
1754.5,195.5,0.25,0.223
1755.5,194.5,0.716,0.376
1756.5,193.5,0.538,0.488
1757.5,192.5,0.659,0.594
1758.5,191.5,0.305,0.243
1759.5,190.5,0.342,0.377
1760.5,189.5,0.294,0.13
1761.5,188.5,0.303,0.306
1762.5,187.5,0.363,0.357
1763.5,186.5,0.32,0.257
1764.5,185.5,0.318,0.256
1765.5,184.5,0.296,0.265
1766.5,183.5,0.286,0.371
1767.5,182.5,0.257,0.362
1768.5,181.5,0.48,0.387
1769.5,180.5,0.406,0.278
1770.5,179.5,0.408,0.502
1771.5,178.5,0.367,0.247
1772.5,177.5,0.305,0.48
1773.5,176.5,0.311,0.301
1774.5,175.5,0.399,0.274
1775.5,174.5,0.277,0.286
1776.5,173.5,0.391,0.244
1777.5,172.5,0.4,0.35
1778.5,171.5,0.333,0.347
1779.5,170.5,0.296,0.313
1780.5,169.5,0.317,0.335
1781.5,168.5,0.303,0.351
1782.5,167.5,0.367,0.492
1783.5,166.5,0.537,0.402
1784.5,165.5,0.344,0.388
1785.5,164.5,0.277,0.412
1786.5,163.5,0.429,1.586
1787.5,162.5,0.252,0.252
1788.5,161.5,0.445,0.417
1789.5,160.5,0.343,0.395
1790.5,159.5,0.364,0.332
1791.5,158.5,0.339,0.485
1792.5,157.5,0.346,0.397
1793.5,156.5,0.371,0.314
1794.5,155.5,0.277,0.336
1795.5,154.5,0.358,0.363
1796.5,153.5,0.288,0.247
1797.5,152.5,0.262,0.358
1798.5,151.5,0.35,0.213
1799.5,150.5,0.266,0.345
1800.5,149.5,0.351,0.232
1801.5,148.5,0.299,0.332
1802.5,147.5,0.277,0.252
1803.5,146.5,0.287,0.252
1804.5,145.5,0.199,0.232
1805.5,144.5,0.366,0.441
1806.5,143.5,0.366,0.358
1807.5,142.5,0.243,0.267
1808.5,141.5,0.305,0.267
1809.5,140.5,0.23,0.239
1810.5,139.5,0.339,0.287
1811.5,138.5,0.289,0.417
1812.5,137.5,0.333,0.36
1813.5,136.5,0.279,0.693
1814.5,135.5,0.35,0.433
1815.5,134.5,0.538,0.487
1816.5,133.5,0.369,0.484
1817.5,132.5,0.382,0.314
1818.5,131.5,0.297,0.254
1819.5,130.5,0.255,0.295
1820.5,129.5,0.312,0.328
1821.5,128.5,0.299,0.274
1822.5,127.5,0.279,0.364
1823.5,126.5,0.313,0.34
1824.5,125.5,0.255,0.345
1825.5,124.5,0.233,0.365
1826.5,123.5,0.226,0.254
1827.5,122.5,0.227,0.227
1828.5,121.5,0.249,0.39
1829.5,120.5,0.339,0.164
1830.5,119.5,0.404,0.598
1831.5,118.5,0.276,0.575
1832.5,117.5,0.196,0.532
1833.5,116.5,0.35,0.397
1834.5,115.5,0.337,0.407
1835.5,114.5,0.318,0.543
1836.5,113.5,0.295,0.376
1837.5,112.5,0.29,0.327
1838.5,111.5,0.26,0.238
1839.5,110.5,0.295,0.287
1840.5,109.5,0.205,0.232
1841.5,108.5,0.567,0.274
1842.5,107.5,0.372,0.313
1843.5,106.5,0.271,0.275
1844.5,105.5,0.295,0.224
1845.5,104.5,0.248,0.277
1846.5,103.5,0.181,0.273
1847.5,102.5,0.402,0.323
1848.5,101.5,0.42,0.306
1849.5,100.5,0.287,0.403
1850.5,99.5,0.47,0.36
1851.5,98.5,0.334,0.416
1852.5,97.5,0.214,0.287
1853.5,96.5,0.282,0.276
1854.5,95.5,0.32,0.382
1855.5,94.5,0.298,0.266
1856.5,93.5,0.349,0.337
1857.5,92.5,0.4,0.357
1858.5,91.5,0.258,0.294
1859.5,90.5,0.401,0.367
1860.5,89.5,0.369,0.544
1861.5,88.5,0.341,0.263
1862.5,87.5,0.304,0.363
1863.5,86.5,0.303,0.324
1864.5,85.5,0.289,0.295
1865.5,84.5,0.274,0.251
1866.5,83.5,0.289,0.356
1867.5,82.5,0.223,0.272
1868.5,81.5,0.286,0.251
1869.5,80.5,0.419,0.536
1870.5,79.5,0.286,0.334
1871.5,78.5,0.317,0.524
1872.5,77.5,0.322,0.396
1873.5,76.5,0.259,0.206
1874.5,75.5,0.292,0.311
1875.5,74.5,0.26,0.332
1876.5,73.5,0.242,0.346
1877.5,72.5,0.28,0.251
1878.5,71.5,0.251,0.253
1879.5,70.5,0.342,0.411
1880.5,69.5,0.327,0.326
1881.5,68.5,0.324,0.283
1882.5,67.5,0.243,0.47
1883.5,66.5,0.385,0.319
1884.5,65.5,0.286,0.558
1885.5,64.5,0.265,0.295
1886.5,63.5,0.278,0.266
1887.5,62.5,0.28,0.286
1888.5,61.5,0.296,0.34
1889.5,60.5,0.276,0.322
1890.5,59.5,0.311,0.295
1891.5,58.5,0.3,0.274
1892.5,57.5,0.344,0.335
1893.5,56.5,0.289,0.37
1894.5,55.5,0.347,0.369
1895.5,54.5,0.345,0.359
1896.5,53.5,0.29,0.309
1897.5,52.5,0.307,0.465
1898.5,51.5,0.249,0.656
1899.5,50.5,0.313,0.33
1900.5,49.5,0.28,0.293
1901.5,48.5,0.348,0.32
1902.5,47.5,0.427,0.303
1903.5,46.5,0.249,0.274
1904.5,45.5,0.264,0.285
1905.5,44.5,0.252,0.18
1906.5,43.5,0.3,0.311
1907.5,42.5,0.373,0.152
1908.5,41.5,0.273,0.158
1909.5,40.5,0.299,0.37
1910.5,39.5,0.245,0.255
1911.5,38.5,0.244,0.429
1912.5,37.5,0.296,0.268
1913.5,36.5,0.248,0.203
1914.5,35.5,0.288,0.28
1915.5,34.5,0.386,0.448
1916.5,33.5,0.23,0.253
1917.5,32.5,0.207,0.154
1918.5,31.5,0.206,0.327
1919.5,30.5,0.377,0.338
1920.5,29.5,0.28,0.26
1921.5,28.5,0.249,0.399
1922.5,27.5,0.279,0.397
1923.5,26.5,0.265,0.336
1924.5,25.5,0.257,0.597
1925.5,24.5,0.241,0.488
1926.5,23.5,0.238,0.233
1927.5,22.5,0.299,0.449
1928.5,21.5,0.36,0.326
1929.5,20.5,0.287,0.338
1930.5,19.5,0.262,0.264
1931.5,18.5,0.251,0.393
1932.5,17.5,0.232,0.273
1933.5,16.5,0.356,0.199
1934.5,15.5,0.243,0.289
1935.5,14.5,0.282,0.132
1936.5,13.5,0.379,0.508
1937.5,12.5,0.249,0.143
1938.5,11.5,0.351,0.226
1939.5,10.5,0.38,0.298
1940.5,9.5,0.288,0.299
1941.5,8.5,0.332,0.356
1942.5,7.5,0.27,0.323
1943.5,6.5,0.312,0.312
1944.5,5.5,0.21,0.237
1945.5,4.5,0.276,0.283
1946.5,3.5,0.405,0.391
1947.5,2.5,0.417,0.216
1948.5,1.5,0.683,0.493
1949.5,0.5,0.333,0.222
1950.5,-0.5,0.43,0.551
1951.5,-1.5,0.351,0.725
1952.5,-2.5,0.185,0.208
1953.5,-3.5,0.247,0.172
1954.5,-4.5,0.32,0.266
1955.5,-5.5,0.312,0.453
1956.5,-6.5,0.209,0.15
1957.5,-7.5,0.293,0.326
1958.5,-8.5,0.261,0.286
1959.5,-9.5,0.363,0.33
1960.5,-10.5,"NaN","NaN"
